,tweet_id,sentiment,author,content
32661,1752354074,joy,SRennie86,Mm. Goodnight. Going to play Rock Band 2 'til it's time to watch SNL with Justin Timberlake.
34375,1752848424,joy,MissNikki22,No matter what I ALWAYS find out the truth.
30531,1751610566,joy,BUTTERFLYWHEEL,@SmBizGuru You are very welcome. You deserve #followfriday every day!
2577,1957577074,joy,jaleesaa,&quot; ...not academically of course. &quot; I miss him already
14783,1964642996,joy,JanaiChristian,Cough drops taste gross...blaaaqhhh
35822,1753178973,joy,marco_cali,"@rhettroberts haha no, I was referring to the band... http://www.myspace.com/lcdsoundsystem"
37703,1753533162,joy,haonhien,Came tantalizingly close to acing a Facebook communism quiz. One question has &quot;I hope Britain will be next communist&quot; as correct answer.
22668,1694474186,joy,Ganimede,Morning world. Hello Bank Holiday! Cold and grey and rainy here. Feel like colouring thanks to @slammerkinbabe so might do that this am
22189,1694382330,joy,snecko,@sparklingshoes yeah it's my friends 18th today as well ^^ it's always like a running joke we have
22515,1694439265,joy,SneakyRaccoon,Having a cup of tea
35553,1753135359,joy,Jolitabrilliant,"http://bit.ly/5e7dr  this is cool, van helden."
17328,1965594598,joy,vangief,"@starrjonze that's the prob, i work from home, and the bed's calling, no, screaming out my name! had really strong coffee instead"
34405,1752870303,joy,hellokimmy,"@linnraz home for 4 months  or less. depending on how fast i get bored, hahs."
26326,1695374960,joy,nickopotamus,Clambering about in crashed cars. Hilarious fun
19977,1966436471,joy,kristyk,"Double rainbow above the Organs. Pretty, but doesn't take the edge off my $460 grocery tab."
16667,1965419713,joy,Car_leigh,Im had to leave early to go to piccolo practice.
35740,1753175778,joy,iellie,I didn't check Twitter till just now. Thanks everyone for all the Congrats! I really really appreciate it  #fb
18862,1966095757,joy,SassyDiva74,@JammieAdams No you are not having my favorite drink without me  lol
623,1957112696,joy,Zensunni,@charlieboy808 thanks for the rt and sorry about your new place with the domestics
31996,1752157024,joy,greenteacup,"Going out to down town with a friend, long time haven't seen him...OKOK.. i am feeling fresh again"
33362,1752591325,joy,claralim,is having awesome fruits and vegetable juice at the opening of Lam's noodles at 8@tradehub21  #fb http://tinyurl.com/qnjqx2
5670,1960995024,joy,spidermonkeyloo,really wanted to go to that gig tonight
13570,1964088605,joy,etdibenedetto,Leaving L.A.  but had so much fun!
32101,1752191546,joy,InvaderTalisa,gahh. my freaking lip ring is going to be the death of me. it never cooraperates with me. and im over it now jack haha;
20972,1694145686,joy,laijinfong,Design galore! Yayyyyyyy  progress beyond my imagination. Now...to get my flattie to sort out the Internet to send orders out!
23448,1694626171,joy,Rominha28,@Milomilkshake you can put a saucepan full of water on the cooker to heat up the water...indian style  scrabbled are the best!!!!
26335,1695375231,joy,callumtabada,radianborge is learning the ways of being the padre de pamilya   go go go borgie!
3391,1958037565,joy,ohaijosh,"Just found out my kitty isn't pregnant  its a good thing though, we are going to adopt one instead"
36630,1753347732,joy,mandagoforth,"i'm doin my tweets on my phone so i have on clue how to reply to anyone. but thank u fiercemichi, as soon as i can i'll check it out."
27395,1695767124,joy,sawickis,@MonroeOnABudget thanks for the link love yesterday by the way
15630,1964894602,joy,SSPSoundz,@themaguire maybe one day I can be on your favorite producers list  lol
18402,1965959710,joy,DigitalSophia,Writing this paper is a lot harder then i thought . LOL
7259,1961578052,joy,jtmccarthy,heading to Sam Adams Brewery... but can't sample it when I get there
23574,1694646830,joy,waynegeber,Great day training and having fun
3991,1960159686,joy,TheHappySchizo,"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4!"
21053,1694163559,joy,greenslipparty,@foxmarta Look forward to seeing the resume!
38857,1753727587,joy,froggie775,"ok all, bedtime for this bonzo! i just got done with my math homework and my brain is done for the day. Nite nite  have a great day!"
33166,1752532953,joy,josephmoney,Come on Vancouver. Throwing stuff onto the ice? I thought you Canucks were supposed to be all polite and stuff?
1360,1957285346,joy,JosBirken,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit
29198,1751140190,joy,canadiangirl224,Has no idea wtf Twitter is about but willing to give it a go!  Going out for a bit!
34611,1752918240,joy,gambi,"Traveling faster than light might actually be possible. (space.com http://bit.ly/7Ex4J ) yeah, enterprise we'r comin'"
35855,1753196489,joy,JJLuver756,@crystallynn09 I know!! Yayy
36352,1753292357,joy,sarah2557,Home at last 1 more day till my weekend begins!!
2295,1957513178,joy,nickyjames,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.
32541,1752322190,joy,Melamachinko,@lo_ferrigno YES!! YOU FTW!!!!! LMAO i wasnt watching
36268,1753274539,joy,remuke,"Swords make everyone sexy.  Oh, Harold."
35237,1753052537,joy,AshleyWondersss,Seeing my brother graduate tomorrow. Should be fun.
26721,1695510936,joy,OhlalaParis,I just got my leavers do dress!!!!
28114,1696045680,joy,3vilMTV,has almost completed the groundwork for Paper Pile.
32307,1752256492,joy,alliecatx3,is ur boyfriend better than mine? hell no!
27187,1695692347,joy,Katie_Bircham,"@Joy_B I don't know but they aren't worth it, only 6 people actually showed up lol"
15907,1965068867,joy,phunybuny,@tinydeww I found out this morning too.
27423,1695768007,joy,chazzerbezzer,17 again was funny
39493,1753823130,joy,evilbugz,Cleaning all day today after he runs off to do his stuff and setting my schedule for the week.  I feel much better now and calmer too!
23852,1694706660,joy,CrzyBeautiful,#Trackflashback: &quot;I Believe In A Thing Called Love&quot; by The Darkness - check it out...
37569,1753515747,joy,SunnySP,gonna walk around for an hour now :I but I'm totally motivated! Wahahaha
13033,1963822494,joy,NateB2,@hannahbananalee talk about drool - the Canon EOS 5D Mark 2 is *amazing*.  Too bad it costs $2k...  http://tinyurl.com/63qoz4
1116,1957219315,joy,djmobeatz,@KevinDavis1914  .... It was just alriiightt
32096,1752191333,joy,kittehkilla,My dad knows i got drunk today. And i didnt get in trouble.
27467,1695803338,joy,pushpov,Received our first bit of spam from Twitter - not sure how to feel that the &quot;sanctity&quot; of our conversation has been tainted.
31998,1752157030,joy,1Handprint,Time to put the weapons on the charger for the night.  Sleep tight
380,1957053409,joy,gangstamittens,is home.  safely... but hungry
19694,1966327411,joy,3LittleMonsters,@funkylovin ah mine is never home before 8   I handed off the kids and grabbed the bottle of malibu and a coke..momma getting drinky :para
36674,1753349261,joy,gm_s,@millportonian Don't worry. You'll be 38 soon
20793,1694109369,joy,cerealjoe,@prayagn I think we have it pretty much figured out. @adawada added a box in the Helsinki group where you can see the tweets
25885,1695221875,joy,randylw67,"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday"
17239,1965569663,joy,thaislibrarian,trying to upload one thousand photos!!
31628,1752019129,joy,weblittlepieces,@syedbalkhi It's ok now ! I've cleared my cache and everything is fine
22412,1694421033,joy,selenailic,@DavidGuetta_EN  we're waiting you here in Belgrade!! Can't wait!!
8765,1962300641,joy,alphajammer,@WreckTheLaw Great write up.  Player won't start though
21518,1694255431,joy,xxbubbles336xx,"@tommcfly haha that was good, slightly geeky but funny  x"
37330,1753467741,joy,ethandhan,"i want to wake up early, and get a coffee tomorrow (today) !  it's going to be a busyy day! but have to keep writing.. booo whoo!"
424,1957067779,joy,Maureen12683,"So, I need to make a lot of money tomorrow"
17925,1965834646,joy,akrobatikmc,been in bed for two days with migraines
30421,1751575114,joy,yayita13,http://twitpic.com/4w8kr - meet Bella the new member of the family!!
5773,1961044850,joy,laurenzwiernik,at work  then back to my baby's house
27020,1695619323,joy,wolfcat,@maenad_au my pleasure... hey it was played at my going away from nz party back in 87 lots   so it is burned into my brain
23878,1694707815,joy,GarethPrice,"@Jayce_Kay planted in the garden last week, ive got to check on it"
25353,1695081005,joy,Human_person,@tweeterdiva It's easy.....just turn your keyboard upside down
17548,1965690131,joy,SuperSonicSami,My best mate found out that I am moving. She doesn't understand I wanna do something with my life; Leaving to go to Uni..
38725,1753696727,joy,leopard81,"going to watch a dvd with hubby,'Eagle Eye', twit u all 2morrow, cia"
33845,1752723765,joy,LaQuasia777,Logging it out. Thank you Kiana...you're something else ma! masha'Allah.
20007,1693956612,joy,i_can_deal,@souljaboytellem holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though
30265,1751537058,joy,singinchelle,soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop
21614,1694273078,joy,wlwarriorsuzie,@BenFordham Thats Not a Golf Buggy LOL it's a Australia Zoo Buggy The staff use it to get around and give certain patrons a life
26550,1695443081,joy,nturnage,@alitherunner good. that was the intent.  hopefully others get the same vibe
21493,1694240470,joy,dogsounds,"@petabridges I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt"
39103,1753760086,joy,lola_princess,YES! I DONE IT! at last.  my homework is ready dx and i can go waaalkiiing because the sun is shining ^^ oh yeah.
21171,1694183257,joy,farzanarasool,@qudsiya was jus so excited t c ur name
20691,1694090360,joy,himynameisjawsh,@bbrooke yeah surrrrrously. we win
37560,1753501730,joy,jespern,"@mitsuhiko Np mate, was great meeting you in Prague"
20521,1694053763,joy,tibrent,Wrapped up some html/java work now spending the night dabbling in some flash intros
7837,1961909997,joy,mandaf,@bryanhowl  @kat10187  You guys can make it through!
24096,1694767689,joy,JMIKELS,Goodmorning world!
23360,1694606568,joy,ZUCREUNIVERSAL,@mariamabdillahi welcome back chica! hope you had a nice break
27717,1695885005,joy,babilorentz,"c'mon people, today is #juddday"
31434,1751953090,joy,albumcoverart,@johnwyattedgar i dont really trust the judgements and vouches of @brandy_xo   jk. i'll think about becoming a friend of yours
32575,1752350460,joy,andieegarza,"@AlexAllTimeLow ohh snapp, have fun"
7331,1961620023,joy,_missJP,@mike03p IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;)
4464,1960385436,joy,cowboymathu,Need to buy a bluetooth device for machine
14017,1964300332,joy,nobody554,@mfharrison I still have another hour.
30493,1751609382,joy,kittycoww,lifes been sweet ever since thursday    im totally livin the life right now
31574,1751988073,joy,I_am_Jess,@MariM525 lol I am blessed to have you in my life too &quot;mama&quot;  Sorry about your back pain. You should do some stretches.
38511,1753665568,joy,MissHollywood90,@heycassadee I can't wait to see yall Friday !!!! I hope I meet u guys!! That would make the night even better
